system	sample_id	sample_slug	run	layout	host_depletion	source_accession	independent_biological_unit	figure2_primary_include	filtered_human_reads	filtered_human_units	peak_count	frip	worker_hard_qc_status	processing_status	final_artifacts_ok	qc_manifest_match	figure2_qualified	failure_reason	filtered_bam	narrowpeak	qc_record	early_stop_receipt
PDX	MGH1181	MGH1181	SRR29662760	PAIRED	mouse_then_human	GSE269746	MGH1181	TRUE					MISSING	NOT_RUN_AFTER_LOCKED_DATA_GATE	FALSE	FALSE	FALSE	not_run_after_locked_data_gate	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH1181/MGH1181.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH1181/peaks/MGH1181_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/PDX/MGH1181.tsv	
PDX	MGH9183	MGH9183	SRR29662751	PAIRED	mouse_then_human	GSE269746	MGH9183	TRUE					MISSING	NOT_RUN_AFTER_LOCKED_DATA_GATE	FALSE	FALSE	FALSE	not_run_after_locked_data_gate	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH9183/MGH9183.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH9183/peaks/MGH9183_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/PDX/MGH9183.tsv	
PDX	MGH9243	MGH9243	SRR29662750	PAIRED	mouse_then_human	GSE269746	MGH9243	TRUE					MISSING	NOT_RUN_AFTER_LOCKED_DATA_GATE	FALSE	FALSE	FALSE	not_run_after_locked_data_gate	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH9243/MGH9243.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH9243/peaks/MGH9243_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/PDX/MGH9243.tsv	
cell_line	A427	A427	DRR136131	SINGLE	none	DRA006908	A427	TRUE	3911593	3911593	12316	0.07888449	PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/A427/A427.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/A427/peaks/A427_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/A427.tsv	
cell_line	A549	A549	DRR136218	SINGLE	none	DRA006909	A549	TRUE	3171284	3171284	11364	0.05797305	PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/A549/A549.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/A549/peaks/A549_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/A549.tsv	
cell_line	ABC-1	ABC-1	DRR136313	SINGLE	none	DRA006910	ABC-1	TRUE	2132700	2132700	11453	0.08040512	PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/ABC-1/ABC-1.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/ABC-1/peaks/ABC-1_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/ABC-1.tsv	
cell_line	H1648	H1648	DRR136585	SINGLE	none	DRA006913	H1648	TRUE	2088866	2088866	9413	0.06757877	FAIL	COMPLETED	TRUE	TRUE	FALSE	worker_hard_qc_fail	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H1648/H1648.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H1648/peaks/H1648_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/H1648.tsv	
cell_line	H1650	H1650	DRR136679	SINGLE	none	DRA006914	H1650	TRUE	781150	781150	4494	0.05638098	FAIL	COMPLETED	TRUE	TRUE	FALSE	worker_hard_qc_fail	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H1650/H1650.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H1650/peaks/H1650_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/H1650.tsv	
cell_line	H1819	H1819	DRR136866	SINGLE	none	DRA006916	H1819	TRUE	855212	855212	6754	0.10673845	FAIL	COMPLETED	TRUE	TRUE	FALSE	worker_hard_qc_fail	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H1819/H1819.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H1819/peaks/H1819_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/H1819.tsv	
cell_line	H1975	H1975	DRR136961	SINGLE	none	DRA006917	H1975	TRUE	4245782	4245782	34781	0.19331374	PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H1975/H1975.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H1975/peaks/H1975_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/H1975.tsv	
cell_line	H2228	H2228	DRR137137	SINGLE	none	DRA006919	H2228	TRUE	1378744	1378744	13551	0.12431967	PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H2228/H2228.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H2228/peaks/H2228_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/H2228.tsv	
cell_line	H2347	H2347	DRR137226	SINGLE	none	DRA006920	H2347	TRUE	2653449	2653449	42017	0.27422083	PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H2347/H2347.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H2347/peaks/H2347_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/H2347.tsv	
cell_line	H322	H322	DRR136407	SINGLE	none	DRA006911	H322	TRUE	2749205	2749205	23057	0.12598333	PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H322/H322.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H322/peaks/H322_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/H322.tsv	
cell_line	II-18	II-18	DRR137312	SINGLE	none	DRA006921	II-18	TRUE	1293013	1293013	15608	0.19370958	PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/II-18/II-18.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/II-18/peaks/II-18_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/II-18.tsv	
cell_line	LC2/ad	LC2_ad	DRR137402	SINGLE	none	DRA006922	LC2/ad	TRUE	2440050	2440050	18137	0.10406672	PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/LC2_ad/LC2_ad.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/LC2_ad/peaks/LC2_ad_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/LC2_ad.tsv	
cell_line	PC-14	PC-14	DRR137573	SINGLE	none	DRA006924	PC-14	TRUE	1424761	1424761	8270	0.09329635	FAIL	COMPLETED	TRUE	TRUE	FALSE	worker_hard_qc_fail	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/PC-14/PC-14.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/PC-14/peaks/PC-14_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/PC-14.tsv	
cell_line	PC-9	PC-9	DRR137490	SINGLE	none	DRA006923	PC-9	TRUE	9496338	9496338	31736	0.08671395	PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/PC-9/PC-9.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/PC-9/peaks/PC-9_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/PC-9.tsv	
cell_line	RERF-LC-Ad1	RERF-LC-Ad1	DRR137661	SINGLE	none	DRA006925	RERF-LC-Ad1	TRUE	2170014	2170014	14327	0.08744045	PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/RERF-LC-Ad1/RERF-LC-Ad1.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/RERF-LC-Ad1/peaks/RERF-LC-Ad1_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/RERF-LC-Ad1.tsv	
cell_line	RERF-LC-Ad2	RERF-LC-Ad2	DRR137746	SINGLE	none	DRA006926	RERF-LC-Ad2	TRUE	3103697	3103697	15681	0.08562466	PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/RERF-LC-Ad2/RERF-LC-Ad2.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/RERF-LC-Ad2/peaks/RERF-LC-Ad2_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/RERF-LC-Ad2.tsv	
cell_line	RERF-LC-KJ	RERF-LC-KJ	DRR137840	SINGLE	none	DRA006927	RERF-LC-KJ	TRUE	1076326	1076326	7253	0.09102818	FAIL	COMPLETED	TRUE	TRUE	FALSE	worker_hard_qc_fail	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/RERF-LC-KJ/RERF-LC-KJ.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/RERF-LC-KJ/peaks/RERF-LC-KJ_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/RERF-LC-KJ.tsv	
cell_line	RERF-LC-MS	RERF-LC-MS	DRR137932	SINGLE	none	DRA006928	RERF-LC-MS	TRUE	3173714	3173714	14675	0.09629570	PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/RERF-LC-MS/RERF-LC-MS.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/RERF-LC-MS/peaks/RERF-LC-MS_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/RERF-LC-MS.tsv	
cell_line	VMRC-LCD	VMRC-LCD	DRR138116	SINGLE	none	DRA006930	VMRC-LCD	TRUE	2679617	2679617	10163	0.07262195	PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/VMRC-LCD/VMRC-LCD.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/VMRC-LCD/peaks/VMRC-LCD_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/VMRC-LCD.tsv	
